trait,rid,pathway,n_genes,n_high_i2_genes,frac_high_i2,fisher_p,bh_q,ld_block_perm_p,ld_block_perm_q,fdr_significant
BMI,R-HSA-9931295,PD-L1(CD274) glycosylation and translocation to plasma membrane,20,19,0.95,0.762351,1,0.039801,0.0570449,False
BMI,R-HSA-76046,RNA Polymerase III Transcription Initiation,36,34,0.944444,0.766471,1,0.567164,0.681058,False
BMI,R-HSA-77289,Mitochondrial Fatty Acid Beta-Oxidation,36,34,0.944444,0.766471,1,0.58209,0.694743,False
BMI,R-HSA-69002,DNA Replication Pre-Initiation,145,137,0.944828,0.76676,1,0.761194,0.866477,False
BMI,R-HSA-390466,Chaperonin-mediated protein folding,89,84,0.94382,0.767123,1,0.537313,0.651172,False
BMI,R-HSA-6811436,COPI-independent Golgi-to-ER retrograde traffic,53,50,0.943396,0.768312,1,0.646766,0.759275,False
BMI,R-HSA-73864,RNA Polymerase I Transcription,107,101,0.943925,0.770107,1,0.79602,0.888563,False
BMI,R-HSA-9748784,Drug ADME,107,101,0.943925,0.770107,1,0.671642,0.784191,False
BMI,R-HSA-9937383,Mitochondrial ribosome-associated quality control,88,83,0.943182,0.774736,1,0.567164,0.681058,False
BMI,R-HSA-73854,RNA Polymerase I Promoter Clearance,106,100,0.943396,0.776969,1,0.810945,0.89843,False
BMI,R-HSA-1655829,Regulation of cholesterol biosynthesis by SREBP (SREBF),52,49,0.942308,0.778334,1,0.671642,0.784191,False
BMI,R-HSA-1222556,ROS and RNS production in phagocytes,35,33,0.942857,0.778901,1,0.59204,0.704483,False
BMI,R-HSA-1296065,Inwardly rectifying K+ channels,35,33,0.942857,0.778901,1,0.666667,0.780311,False
BMI,R-HSA-111471,Apoptotic factor-mediated response,19,18,0.947368,0.779785,1,0.0497512,0.0702405,False
BMI,R-HSA-2022870,CS-GAG biosynthesis,19,18,0.947368,0.779785,1,0.0547264,0.0768969,False
BMI,R-HSA-3000480,Scavenging by Class A Receptors,19,18,0.947368,0.779785,1,0.0646766,0.0904477,False
BMI,R-HSA-3781860,Diseases associated with N-glycosylation of proteins,19,18,0.947368,0.779785,1,0.0547264,0.0768969,False
BMI,R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation",19,18,0.947368,0.779785,1,0.0497512,0.0702405,False
BMI,R-HSA-5218921,VEGFR2 mediated cell proliferation,19,18,0.947368,0.779785,1,0.0497512,0.0702405,False
BMI,R-HSA-6804760,Regulation of TP53 Activity through Methylation,19,18,0.947368,0.779785,1,0.039801,0.0570449,False
BMI,R-HSA-8849932,Synaptic adhesion-like molecules,19,18,0.947368,0.779785,1,0.039801,0.0570449,False
BMI,R-HSA-8876384,Listeria monocytogenes entry into host cells,19,18,0.947368,0.779785,1,0.0497512,0.0702405,False
BMI,R-HSA-9033658,Blood group systems biosynthesis,19,18,0.947368,0.779785,1,0.0497512,0.0702405,False
BMI,R-HSA-9629569,Protein hydroxylation,19,18,0.947368,0.779785,1,0.0547264,0.0768969,False
BMI,R-HSA-9856530,High laminar flow shear stress activates signaling by PIEZO1 and PECAM1:CDH5:KDR in endothelial cells,69,65,0.942029,0.783043,1,0.616915,0.730769,False
BMI,R-HSA-9843745,Adipogenesis,105,99,0.942857,0.783756,1,0.621891,0.735925,False
BMI,R-HSA-111448,Activation of NOXA and translocation to mitochondria,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-112303,Electric Transmission Across Gap Junctions,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-112307,Transmission across Electrical Synapses ,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-114516,Disinhibition of SNARE formation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1169092,Activation of RAS in B cells,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1306955,GRB7 events in ERBB2 signaling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1482798,Acyl chain remodeling of CL,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1482883,Acyl chain remodeling of DAG and TAG,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1483226,Synthesis of PI,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-1606341,IRF3 mediated activation of type 1 IFN,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-165181,Inhibition of TSC complex formation by AKT (PKB),5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-173599,"Formation of the active cofactor, UDP-glucuronate",5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-180689,APOBEC3G mediated resistance to HIV-1 infection,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-187024,NGF-independant TRKA activation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-187706,Signalling to p38 via RIT and RIN,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-203641,NOSTRIN mediated eNOS trafficking,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-205025,NADE modulates death signalling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-210746,Regulation of gene expression in endocrine-committed (NEUROG3+) progenitor cells,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-2161517,Abacavir transmembrane transport,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-2644605,FBXW7 Mutants and NOTCH1 in Cancer,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-2644607,Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-2855086,Ficolins bind to repetitive carbohydrate structures on the target cell surface,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-3065676,SUMO is conjugated to E1 (UBA2:SAE1),5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-3134973,LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-380095,Tachykinin receptors bind tachykinins,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-390648,Muscarinic acetylcholine receptors,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-390651,Dopamine receptors,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-426048,Arachidonate production from DAG,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-435368,Zinc efflux and compartmentalization by the SLC30 family,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-444257,RSK activation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5083630,Defective LFNG causes SCDO3,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5250955,Toxicity of botulinum toxin type D (botD),5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5250981,Toxicity of botulinum toxin type F (botF),5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5368598,Negative regulation of TCF-dependent signaling by DVL-interacting proteins,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-561048,Organic anion transport by SLC22 transporters,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5661270,Formation of xylulose-5-phosphate,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-5662702,Melanin biosynthesis,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-68911,G2 Phase,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-70350,Fructose catabolism,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-71032,Propionyl-CoA catabolism,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-74713,IRS activation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-75157,FasL/ CD95L signaling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8848584,Wax and plasmalogen biosynthesis,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8849468,PTK6 Regulates Proteins Involved in RNA Processing,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8849473,PTK6 Expression,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8852405,Signaling by MST1,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8866423,VLDL assembly,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8866911,TFAP2 (AP-2) family regulates transcription of cell cycle factors,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8869496,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8932504,DAG1 core M2 glycosylations,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8935964,RUNX1 regulates expression of components of tight junctions,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8939247,RUNX1 regulates transcription of genes involved in interleukin signaling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8939256,RUNX1 regulates transcription of genes involved in WNT signaling,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8941284,RUNX2 regulates chondrocyte maturation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8952158,RUNX3 regulates BCL2L11 (BIM) transcription,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8963676,Intestinal absorption,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8964011,HDL clearance,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-8964026,Chylomicron clearance,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9013425,RHOT1 GTPase cycle,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9022537,Loss of MECP2 binding ability to the NCoR/SMRT complex,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9031525,NR1H2 & NR1H3 regulate gene expression to limit cholesterol uptake ,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9031528,NR1H2 & NR1H3 regulate gene expression linked to triglyceride lipolysis in adipose,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9032759,NTRK2 activates RAC1,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9605308,Diseases of Base Excision Repair,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9632974,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-964739,N-glycan trimming and elongation in the cis-Golgi,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9662001,Defective factor VIII causes hemophilia A,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9664535,LTC4-CYSLTR mediated IL4 production,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9667769,Acetylcholine inhibits contraction of outer hair cells,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9673221,Defective F9 activation,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9705677,SARS-CoV-2 targets PDZ proteins in cell-cell junction,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9707587,Regulation of HMOX1 expression and activity,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9754119,Drug-mediated inhibition of CDK4/CDK6 activity,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9768777,Regulation of NPAS4 gene transcription,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9793528,Ciprofloxacin ADME,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9818026,NFE2L2 regulating inflammation associated genes,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9818035,NFE2L2 regulating ER-stress associated genes,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9927353,Co-inhibition by BTLA,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9931529,Phosphorylation and nuclear translocation of BMAL1 (ARNTL) and CLOCK,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9944971,Loss of Function of KMT2D in Kabuki Syndrome,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9944997,Loss of Function of KMT2D in MLL4 Complex Formation in Kabuki Syndrome,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9946127,Defects of contact activation system and kallikrein-kinin system ,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-9960525,CASP5-mediated substrate cleavage,5,5,1,0.788202,1,0.00497512,0.00772092,False
BMI,R-HSA-2151201,Transcriptional activation of mitochondrial biogenesis,51,48,0.941176,0.788237,1,0.646766,0.759275,False
BMI,R-HSA-9907900,Proteasome assembly,51,48,0.941176,0.788237,1,0.636816,0.750953,False
BMI,R-HSA-1793185,Chondroitin sulfate/dermatan sulfate metabolism,34,32,0.941176,0.791191,1,0.711443,0.820521,False
BMI,R-HSA-167172,Transcription of the HIV genome,68,64,0.941176,0.79145,1,0.557214,0.670815,False
BMI,R-HSA-109582,Hemostasis,651,617,0.947773,0.791766,1,0.756219,0.863728,False
BMI,R-HSA-9843940,Regulation of endogenous retroelements by KRAB-ZFP proteins,103,97,0.941748,0.797099,1,0.79602,0.888563,False
BMI,R-HSA-156584,Cytosolic sulfonation of small molecules,18,17,0.944444,0.797106,1,0.0597015,0.0836387,False
BMI,R-HSA-159418,Recycling of bile acids and salts,18,17,0.944444,0.797106,1,0.0597015,0.0836387,False
BMI,R-HSA-168927,"TICAM1, RIP1-mediated IKK complex recruitment",18,17,0.944444,0.797106,1,0.0746269,0.10381,False
BMI,R-HSA-73780,RNA Polymerase III Chain Elongation,18,17,0.944444,0.797106,1,0.0597015,0.0836387,False
BMI,R-HSA-8931838,DAG1 glycosylations,18,17,0.944444,0.797106,1,0.0696517,0.0971751,False
BMI,R-HSA-9841251,Mitochondrial unfolded protein response (UPRmt),18,17,0.944444,0.797106,1,0.0547264,0.0768969,False
BMI,R-HSA-9909505,Modulation of host responses by IFN-stimulated genes,18,17,0.944444,0.797106,1,0.0845771,0.116962,False
BMI,R-HSA-9937080,Developmental Lineage of Multipotent Pancreatic Progenitor Cells,18,17,0.944444,0.797106,1,0.0845771,0.116962,False
BMI,R-HSA-113418,Formation of the Early Elongation Complex,33,31,0.939394,0.80332,1,0.696517,0.806853,False
BMI,R-HSA-1266695,Interleukin-7 signaling,33,31,0.939394,0.80332,1,0.761194,0.866477,False
BMI,R-HSA-163359,Glucagon signaling in metabolic regulation,33,31,0.939394,0.80332,1,0.736318,0.844674,False
BMI,R-HSA-167158,Formation of the HIV-1 Early Elongation Complex,33,31,0.939394,0.80332,1,0.696517,0.806853,False
BMI,R-HSA-167287,HIV elongation arrest and recovery,33,31,0.939394,0.80332,1,0.681592,0.792284,False
BMI,R-HSA-167290,Pausing and recovery of HIV elongation,33,31,0.939394,0.80332,1,0.681592,0.792284,False
BMI,R-HSA-392518,Signal amplification,33,31,0.939394,0.80332,1,0.676617,0.788052,False
BMI,R-HSA-4085001,Sialic acid metabolism,33,31,0.939394,0.80332,1,0.696517,0.806853,False
BMI,R-HSA-420092,Glucagon-type ligand receptors,33,31,0.939394,0.80332,1,0.676617,0.788052,False
BMI,R-HSA-432720,Lysosome Vesicle Biogenesis,33,31,0.939394,0.80332,1,0.716418,0.825453,False
BMI,R-HSA-5579029,Metabolic disorders of biological oxidation enzymes,33,31,0.939394,0.80332,1,0.676617,0.788052,False
BMI,R-HSA-9615710,Late endosomal microautophagy,33,31,0.939394,0.80332,1,0.646766,0.759275,False
BMI,R-HSA-5250913,Positive epigenetic regulation of rRNA expression,102,96,0.941176,0.803648,1,0.80597,0.893337,False
BMI,R-HSA-6807878,COPI-mediated anterograde transport,102,96,0.941176,0.803648,1,0.636816,0.750953,False
BMI,R-HSA-9820448,Developmental Cell Lineages of the Exocrine Pancreas,84,79,0.940476,0.80431,1,0.606965,0.719705,False
BMI,R-HSA-71291,Metabolism of amino acids and derivatives,348,329,0.945402,0.80653,1,0.706468,0.817178,False
BMI,R-HSA-6791312,TP53 Regulates Transcription of Cell Cycle Genes,49,46,0.938776,0.807647,1,0.641791,0.755312,False
BMI,R-HSA-211945,Phase I - Functionalization of compounds,101,95,0.940594,0.810111,1,0.696517,0.806853,False
BMI,R-HSA-162710,Synthesis of glycosylphosphatidylinositol (GPI),17,16,0.941176,0.814261,1,0.109453,0.149524,False
BMI,R-HSA-3560801,Defective B3GAT3 causes JDSSDHD,17,16,0.941176,0.814261,1,0.104478,0.143142,False
BMI,R-HSA-432142,Platelet sensitization by LDL,17,16,0.941176,0.814261,1,0.109453,0.149524,False
BMI,R-HSA-5603041,IRAK4 deficiency (TLR2/4),17,16,0.941176,0.814261,1,0.119403,0.162553,False
BMI,R-HSA-1251985,Nuclear signaling by ERBB4,32,30,0.9375,0.815269,1,0.761194,0.866477,False
BMI,R-HSA-1839126,FGFR2 mutant receptor activation,32,30,0.9375,0.815269,1,0.711443,0.820521,False
BMI,R-HSA-5205685,PINK1-PRKN Mediated Mitophagy,32,30,0.9375,0.815269,1,0.711443,0.820521,False
BMI,R-HSA-8953750,Transcriptional Regulation by E2F6,32,30,0.9375,0.815269,1,0.676617,0.788052,False
BMI,R-HSA-9668328,Sealing of the nuclear envelope (NE) by ESCRT-III,32,30,0.9375,0.815269,1,0.726368,0.836102,False
BMI,R-HSA-9925561,Developmental Lineage of Pancreatic Acinar Cells,32,30,0.9375,0.815269,1,0.761194,0.866477,False
BMI,R-HSA-9769739,Regulation of clotting cascade,47,44,0.93617,0.826457,1,0.641791,0.755312,False
BMI,R-HSA-111957,Cam-PDE 1 activation,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-112126,ALKBH3 mediated reversal of alkylation damage,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-112313,Neurotransmitter uptake and metabolism In glial cells,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-1251932,PLCG1 events in ERBB2 signaling,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-1296025,ATP sensitive Potassium channels,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-1296053,Classical Kir channels,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-1296061,HCN channels,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-163358,PKA-mediated phosphorylation of key metabolic factors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-165158,Activation of AKT2,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-167060,NGF processing,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-167826,The fatty acid cycling model,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-173107,Binding and entry of HIV virion,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-204626,Hypusine synthesis from eIF5A-lysine,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-209563,Axonal growth stimulation,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-209905,Catecholamine biosynthesis,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-209931,Serotonin and melatonin biosynthesis,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-211163,AKT-mediated inactivation of FOXO1A,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-2161541,Abacavir metabolism,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-2408550,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-2473224,Antagonism of Activin by Follistatin,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-3000497,Scavenging by Class H Receptors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-3656535,TGFBR1 LBD Mutants in Cancer,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-376172,DSCAM interactions,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-379401,Dopamine clearance from the synaptic cleft,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-388479,Vasopressin-like receptors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-390650,Histamine receptors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-391906,Leukotriene receptors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-417973,Adenosine P1 receptors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-5250968,Toxicity of botulinum toxin type A (botA),4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-5624138,Trafficking of myristoylated proteins to the cilium,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-6785470,tRNA processing in the mitochondrion,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-69200,Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-69560,Transcriptional activation of p53 responsive genes  ,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-69895,Transcriptional  activation of  cell cycle inhibitor p21 ,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-75108,"Activation, myristolyation of BID and translocation to mitochondria",4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-77108,Utilization of Ketone Bodies,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8847453,Synthesis of PIPs in the nucleus,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8849474,PTK6 Activates STAT3,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8853383,Lysosomal oligosaccharide catabolism,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8866376,Reelin signalling pathway,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8866906,TFAP2 (AP-2) family regulates transcription of other transcription factors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-888593,Reuptake of GABA,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8932506,DAG1 core M1 glycosylations,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8941237,Invadopodia formation,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8941333,RUNX2 regulates genes involved in differentiation of myeloid cells,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8981373,Intestinal hexose absorption,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8985586,SLIT2:ROBO1 increases RHOA activity,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-8985801,Regulation of cortical dendrite branching,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9018676,Biosynthesis of D-series resolvins,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9018681,Biosynthesis of protectins,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9018683,Biosynthesis of DPA-derived SPMs,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9022707,MECP2 regulates transcription factors,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9023661,Biosynthesis of E-series 18(R)-resolvins,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9025094,Biosynthesis of DPAn-3 SPMs,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9026527,Activated NTRK2 signals through PLCG1,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9036866,Expression and Processing of Neurotrophins,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9652169,Signaling by MAP2K mutants,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9652282,Drug-mediated inhibition of ERBB2 signaling,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665230,Drug resistance in ERBB2 KD mutants,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665233,Resistance of ERBB2 KD mutants to trastuzumab,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665244,Resistance of ERBB2 KD mutants to sapitinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665245,Resistance of ERBB2 KD mutants to tesevatinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665246,Resistance of ERBB2 KD mutants to neratinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665247,Resistance of ERBB2 KD mutants to osimertinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665249,Resistance of ERBB2 KD mutants to afatinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665250,Resistance of ERBB2 KD mutants to AEE788,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665251,Resistance of ERBB2 KD mutants to lapatinib,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9665737,Drug resistance in ERBB2 TMD/JMD mutants,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9679514,SARS-CoV-1 Genome Replication and Transcription,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9682706,Replication of the SARS-CoV-1 genome,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9683683,Maturation of protein E,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9686347,Microbial modulation of RIPK1-mediated regulated necrosis,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9694493,Maturation of protein E,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9694682,SARS-CoV-2 Genome Replication and Transcription,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9694686,Replication of the SARS-CoV-2 genome,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9837092,FASTK family proteins regulate processing and stability of mitochondrial RNAs,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9839406,TGFBR3 regulates activin signaling,4,4,1,0.826632,1,0.00497512,0.00772092,False
BMI,R-HSA-9845619,Enhanced cleavage of VWF variant by ADAMTS13,4,4,1,0.826632,1,0.00497512,0.00772092,False
