pgs_id,mode,metric,value,baseline_value,reduction,claim,matched_random_mode
PGS000191,fst,score_var_retained_AFR,0.951976,,,,
PGS000191,fst,score_var_retained_AMR,0.957115,,,,
PGS000191,fst,score_var_retained_EAS,0.957656,,,,
PGS000191,fst,score_var_retained_EUR,0.887347,,,,
PGS000191,fst,score_var_retained_SAS,0.884062,,,,
PGS000191,fst,corr_edited_original_AFR,0.952224,,,,
PGS000191,fst,corr_edited_original_AMR,0.952019,,,,
PGS000191,fst,corr_edited_original_EAS,0.965042,,,,
PGS000191,fst,corr_edited_original_EUR,0.962676,,,,
PGS000191,fst,corr_edited_original_SAS,0.957829,,,,
PGS004133,fst,mean_abs_delta_EUR,0.370799,0.559182,0.188382,ancestry_mean_separation_not_portability,
PGS004133,fst,weight_mass_retained,0.894361,,,,
PGS004133,fst,variant_frac_retained,0.901316,,,,
PGS004133,fst,score_var_retained_AFR,0.767139,,,,
PGS004133,fst,score_var_retained_AMR,0.742614,,,,
PGS004133,fst,score_var_retained_EAS,0.833322,,,,
PGS004133,fst,score_var_retained_EUR,0.840061,,,,
PGS004133,fst,score_var_retained_SAS,0.866563,,,,
PGS004133,fst,corr_edited_original_AFR,0.861463,,,,
PGS004133,fst,corr_edited_original_AMR,0.953887,,,,
PGS004133,fst,corr_edited_original_EAS,0.969771,,,,
PGS004133,fst,corr_edited_original_EUR,0.961525,,,,
PGS004133,fst,corr_edited_original_SAS,0.95887,,,,
PGS001288,fst,mean_abs_delta_EUR,0.0696692,0.096028,0.0263588,ancestry_mean_separation_not_portability,
PGS001288,fst,weight_mass_retained,0.910708,,,,
PGS001288,fst,variant_frac_retained,0.90184,,,,
PGS001288,fst,score_var_retained_AFR,0.95261,,,,
PGS001288,fst,score_var_retained_AMR,0.865201,,,,
PGS001288,fst,score_var_retained_EAS,0.985294,,,,
PGS001288,fst,score_var_retained_EUR,0.88121,,,,
PGS001288,fst,score_var_retained_SAS,0.911206,,,,
PGS001288,fst,corr_edited_original_AFR,0.983336,,,,
PGS001288,fst,corr_edited_original_AMR,0.955981,,,,
PGS001288,fst,corr_edited_original_EAS,0.992413,,,,
PGS001288,fst,corr_edited_original_EUR,0.951121,,,,
PGS001288,fst,corr_edited_original_SAS,0.974444,,,,
PGS000191,maf,mean_abs_delta_EUR,0.143,0.184472,0.0414727,ancestry_mean_separation_not_portability,
PGS000191,maf,weight_mass_retained,0.796654,,,,
PGS000191,maf,variant_frac_retained,0.901163,,,,
PGS000191,maf,score_var_retained_AFR,0.880986,,,,
PGS000191,maf,score_var_retained_AMR,0.938937,,,,
PGS000191,maf,score_var_retained_EAS,0.964463,,,,
PGS000191,maf,score_var_retained_EUR,0.937874,,,,
PGS000191,maf,score_var_retained_SAS,0.927769,,,,
PGS000191,maf,corr_edited_original_AFR,0.940574,,,,
PGS000191,maf,corr_edited_original_AMR,0.968944,,,,
PGS000191,maf,corr_edited_original_EAS,0.970533,,,,
PGS000191,maf,corr_edited_original_EUR,0.969789,,,,
PGS000191,maf,corr_edited_original_SAS,0.97664,,,,
PGS004133,maf,mean_abs_delta_EUR,0.358503,0.559182,0.200679,ancestry_mean_separation_not_portability,
PGS004133,maf,weight_mass_retained,0.814741,,,,
PGS004133,maf,variant_frac_retained,0.901316,,,,
PGS004133,maf,score_var_retained_AFR,0.716328,,,,
PGS004133,maf,score_var_retained_AMR,0.777565,,,,
PGS004133,maf,score_var_retained_EAS,0.747719,,,,
PGS004133,maf,score_var_retained_EUR,0.896692,,,,
PGS004133,maf,score_var_retained_SAS,0.867365,,,,
PGS004133,maf,corr_edited_original_AFR,0.851236,,,,
PGS004133,maf,corr_edited_original_AMR,0.959465,,,,
PGS004133,maf,corr_edited_original_EAS,0.944809,,,,
PGS004133,maf,corr_edited_original_EUR,0.972465,,,,
PGS004133,maf,corr_edited_original_SAS,0.966515,,,,
PGS001288,maf,mean_abs_delta_EUR,0.0987753,0.096028,-0.00274733,ancestry_mean_separation_not_portability,
PGS001288,maf,weight_mass_retained,0.809427,,,,
PGS001288,maf,variant_frac_retained,0.90184,,,,
PGS001288,maf,score_var_retained_AFR,0.896354,,,,
PGS001288,maf,score_var_retained_AMR,0.866589,,,,
PGS001288,maf,score_var_retained_EAS,0.889249,,,,
PGS001288,maf,score_var_retained_EUR,0.799532,,,,
PGS001288,maf,score_var_retained_SAS,0.822971,,,,
PGS001288,maf,corr_edited_original_AFR,0.945095,,,,
PGS001288,maf,corr_edited_original_AMR,0.930613,,,,
PGS001288,maf,corr_edited_original_EAS,0.950253,,,,
PGS001288,maf,corr_edited_original_EUR,0.931169,,,,
PGS001288,maf,corr_edited_original_SAS,0.943444,,,,
PGS000191,filter_10,mean_abs_delta_EUR,0.202048,0.184472,-0.0175756,ancestry_mean_separation_not_portability,
PGS000191,filter_10,weight_mass_retained,0.885728,,,,
PGS000191,filter_10,variant_frac_retained,0.901163,,,,
PGS000191,filter_10,score_var_retained_AFR,0.908996,,,,
PGS000191,filter_10,score_var_retained_AMR,0.926891,,,,
PGS000191,filter_10,score_var_retained_EAS,0.931161,,,,
PGS000191,filter_10,score_var_retained_EUR,0.920915,,,,
PGS000191,filter_10,score_var_retained_SAS,0.896884,,,,
PGS000191,filter_10,corr_edited_original_AFR,0.935047,,,,
PGS000191,filter_10,corr_edited_original_AMR,0.964388,,,,
PGS000191,filter_10,corr_edited_original_EAS,0.971086,,,,
PGS000191,filter_10,corr_edited_original_EUR,0.962062,,,,
PGS000191,filter_10,corr_edited_original_SAS,0.963993,,,,
PGS004133,filter_10,mean_abs_delta_EUR,0.482642,0.559182,0.0765393,ancestry_mean_separation_not_portability,
PGS004133,filter_10,weight_mass_retained,0.884688,,,,
PGS004133,filter_10,variant_frac_retained,0.901316,,,,
PGS004133,filter_10,score_var_retained_AFR,0.93233,,,,
PGS004133,filter_10,score_var_retained_AMR,0.879396,,,,
PGS004133,filter_10,score_var_retained_EAS,0.932243,,,,
PGS004133,filter_10,score_var_retained_EUR,0.796735,,,,
PGS004133,filter_10,score_var_retained_SAS,0.909842,,,,
PGS004133,filter_10,corr_edited_original_AFR,0.956085,,,,
PGS004133,filter_10,corr_edited_original_AMR,0.952951,,,,
