pgs_id,trait,mode,metric,value,value_lo,value_hi,baseline_value,baseline_value_lo,baseline_value_hi,delta_vs_baseline,reduction,n_labeled_retained
PGS004840,T2D,filter_20,tail5_frac_SAS,0.0,,,0.007936507936507936,,,-0.007936507936507936,,
PGS004840,T2D,filter_20,tail5_ancestry_L1,0.07936507936507933,,,0.0,,,0.07936507936507933,,
PGS000018,T2D,reweight_linear,mean_abs_delta_EUR,1.3250173297328038,1.160851429408947,1.4412233057195376,1.4433717744989998,1.2771701415419099,1.5636068921357757,-0.11835444476619594,0.11835444476619594,
PGS000018,T2D,reweight_linear,kendall_w,0.11604938271604938,,,0.07361111111111111,,,0.042438271604938266,-0.042438271604938266,
PGS000018,T2D,reweight_linear,median_I2_retained,0.0,,,0.0,,,0.0,0.0,89381.0
PGS000018,T2D,reweight_linear,mean_sign_concordance_retained,0.6305486559867859,,,0.6305486559867859,,,0.0,0.0,89381.0
PGS000018,T2D,reweight_linear,weight_retained_frac,0.6944268985373855,,,1.0,,,-0.3055731014626145,0.3055731014626145,
PGS000018,T2D,reweight_linear,tail5_frac_AFR,0.0,,,0.0,,,0.0,,
PGS000018,T2D,reweight_linear,tail5_frac_AMR,0.07936507936507936,,,0.10317460317460317,,,-0.023809523809523808,,
PGS000018,T2D,reweight_linear,tail5_frac_EAS,0.0,,,0.2222222222222222,,,-0.2222222222222222,,
PGS000018,T2D,reweight_linear,tail5_frac_EUR,0.9206349206349206,,,0.6746031746031746,,,0.24603174603174593,,
PGS000018,T2D,reweight_linear,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS000018,T2D,reweight_linear,tail5_ancestry_L1,0.492063492063492,,,0.0,,,0.492063492063492,,
PGS004696,CAD,reweight_linear,mean_abs_delta_EUR,4.480341048595886,4.211760692693538,4.7728295890631225,4.276596184543395,4.054897571517985,4.555738377815027,0.20374486405249037,-0.20374486405249037,
PGS004696,CAD,reweight_linear,kendall_w,0.11604938271604938,,,0.07361111111111111,,,0.042438271604938266,-0.042438271604938266,
PGS004696,CAD,reweight_linear,median_I2_retained,0.0,,,0.0,,,0.0,0.0,66762.0
PGS004696,CAD,reweight_linear,mean_sign_concordance_retained,0.6266543865203857,,,0.6266543865203857,,,0.0,0.0,66762.0
PGS004696,CAD,reweight_linear,weight_retained_frac,0.6840494528559891,,,1.0,,,-0.31595054714401094,0.31595054714401094,
PGS004696,CAD,reweight_linear,tail5_frac_AFR,0.21428571428571427,,,0.05555555555555555,,,0.15873015873015872,,
PGS004696,CAD,reweight_linear,tail5_frac_AMR,0.1984126984126984,,,0.23015873015873015,,,-0.031746031746031744,,
PGS004696,CAD,reweight_linear,tail5_frac_EAS,0.5873015873015873,,,0.7142857142857143,,,-0.12698412698412698,,
PGS004696,CAD,reweight_linear,tail5_frac_EUR,0.0,,,0.0,,,0.0,,
PGS004696,CAD,reweight_linear,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS004696,CAD,reweight_linear,tail5_ancestry_L1,0.31746031746031744,,,0.0,,,0.31746031746031744,,
PGS004698,CAD,reweight_linear,mean_abs_delta_EUR,3.896201193697917,3.6821425514184494,4.150556715889481,3.655455560197489,3.4795518987265246,3.8533583494961374,0.24074563350042766,-0.24074563350042766,
PGS004698,CAD,reweight_linear,kendall_w,0.11604938271604938,,,0.07361111111111111,,,0.042438271604938266,-0.042438271604938266,
PGS004698,CAD,reweight_linear,median_I2_retained,0.0,,,0.0,,,0.0,0.0,46961.0
PGS004698,CAD,reweight_linear,mean_sign_concordance_retained,0.6355894207954407,,,0.6355894207954407,,,0.0,0.0,46961.0
PGS004698,CAD,reweight_linear,weight_retained_frac,0.7485132717547947,,,1.0,,,-0.25148672824520535,0.25148672824520535,
PGS004698,CAD,reweight_linear,tail5_frac_AFR,0.7698412698412699,,,0.7301587301587301,,,0.039682539682539764,,
PGS004698,CAD,reweight_linear,tail5_frac_AMR,0.09523809523809523,,,0.09523809523809523,,,0.0,,
PGS004698,CAD,reweight_linear,tail5_frac_EAS,0.1349206349206349,,,0.1746031746031746,,,-0.03968253968253968,,
PGS004698,CAD,reweight_linear,tail5_frac_EUR,0.0,,,0.0,,,0.0,,
PGS004698,CAD,reweight_linear,tail5_frac_SAS,0.0,,,0.0,,,0.0,,
PGS004698,CAD,reweight_linear,tail5_ancestry_L1,0.07936507936507944,,,0.0,,,0.07936507936507944,,
PGS003897,BMI,reweight_linear,mean_abs_delta_EUR,0.21008719347314458,0.1746854367339379,0.26237532541507236,0.24074806570109797,0.20824358123211123,0.2925655743313509,-0.030660872227953384,0.030660872227953384,
PGS003897,BMI,reweight_linear,kendall_w,0.11604938271604938,,,0.07361111111111111,,,0.042438271604938266,-0.042438271604938266,
PGS003897,BMI,reweight_linear,median_I2_retained,0.37224072217941284,,,0.37224072217941284,,,0.0,0.0,14556.0
PGS003897,BMI,reweight_linear,mean_sign_concordance_retained,0.5602743029594421,,,0.5602743029594421,,,0.0,0.0,14556.0
PGS003897,BMI,reweight_linear,weight_retained_frac,0.5768518513021409,,,1.0,,,-0.4231481486978591,0.4231481486978591,
PGS003897,BMI,reweight_linear,tail5_frac_AFR,0.23015873015873015,,,0.23809523809523808,,,-0.007936507936507936,,
PGS003897,BMI,reweight_linear,tail5_frac_AMR,0.19047619047619047,,,0.19047619047619047,,,0.0,,
PGS003897,BMI,reweight_linear,tail5_frac_EAS,0.09523809523809523,,,0.0873015873015873,,,0.007936507936507936,,
PGS003897,BMI,reweight_linear,tail5_frac_EUR,0.30952380952380953,,,0.3253968253968254,,,-0.015873015873015872,,
PGS003897,BMI,reweight_linear,tail5_frac_SAS,0.1746031746031746,,,0.15873015873015872,,,0.015873015873015872,,
PGS003897,BMI,reweight_linear,tail5_ancestry_L1,0.047619047619047616,,,0.0,,,0.047619047619047616,,
PGS002853,LDL,reweight_linear,mean_abs_delta_EUR,0.1990940633054355,0.12208648905478771,0.28383102716862596,0.25989511412259914,0.18101813374665499,0.3492223280883946,-0.06080105081716364,0.06080105081716364,
PGS002853,LDL,reweight_linear,kendall_w,0.11604938271604938,,,0.07361111111111111,,,0.042438271604938266,-0.042438271604938266,
PGS002853,LDL,reweight_linear,median_I2_retained,0.048609644174575806,,,0.048609644174575806,,,0.0,0.0,535800.0
PGS002853,LDL,reweight_linear,mean_sign_concordance_retained,0.5854026675224304,,,0.5854026675224304,,,0.0,0.0,535800.0
PGS002853,LDL,reweight_linear,weight_retained_frac,0.7364909744972247,,,1.0,,,-0.26350902550277533,0.26350902550277533,
PGS002853,LDL,reweight_linear,tail5_frac_AFR,0.23015873015873015,,,0.23809523809523808,,,-0.007936507936507936,,
PGS002853,LDL,reweight_linear,tail5_frac_AMR,0.23015873015873015,,,0.2222222222222222,,,0.007936507936507936,,
PGS002853,LDL,reweight_linear,tail5_frac_EAS,0.1111111111111111,,,0.14285714285714285,,,-0.031746031746031744,,
PGS002853,LDL,reweight_linear,tail5_frac_EUR,0.19047619047619047,,,0.14285714285714285,,,0.047619047619047616,,
PGS002853,LDL,reweight_linear,tail5_frac_SAS,0.23809523809523808,,,0.25396825396825395,,,-0.015873015873015872,,
