pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,filter_10,mean_sign_concordance_retained,0.6293016672134399,,,,56379.0
PGS000018,T2D,filter_10,weight_retained_frac,0.9355517675614988,1.0,-0.06444823243850117,0.06444823243850117,
PGS004696,CAD,filter_10,mean_abs_delta_EUR,2.4908630645754566,2.5994430113029185,-0.10857994672746196,0.10857994672746196,
PGS004696,CAD,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS004696,CAD,filter_10,median_I2_retained,0.0,,,,42998.0
PGS004696,CAD,filter_10,mean_sign_concordance_retained,0.628614068031311,,,,42998.0
PGS004696,CAD,filter_10,weight_retained_frac,0.9542678258930778,1.0,-0.04573217410692221,0.04573217410692221,
PGS004698,CAD,filter_10,mean_abs_delta_EUR,2.5008497753148315,2.287875058080976,0.21297471723385542,-0.21297471723385542,
PGS004698,CAD,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS004698,CAD,filter_10,median_I2_retained,0.0,,,,28100.0
PGS004698,CAD,filter_10,mean_sign_concordance_retained,0.6402254104614258,,,,28100.0
PGS004698,CAD,filter_10,weight_retained_frac,0.9728609329991593,1.0,-0.027139067000840678,0.027139067000840678,
PGS003897,BMI,filter_10,mean_abs_delta_EUR,0.27062735309408786,0.37614086305643446,-0.1055135099623466,0.1055135099623466,
PGS003897,BMI,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS003897,BMI,filter_10,median_I2_retained,0.31384187936782837,,,,10191.0
PGS003897,BMI,filter_10,mean_sign_concordance_retained,0.5639269351959229,,,,10191.0
PGS003897,BMI,filter_10,weight_retained_frac,0.8827381154699642,1.0,-0.11726188453003583,0.11726188453003583,
PGS002853,LDL,filter_10,mean_abs_delta_EUR,0.533062812321369,0.45118847641173754,0.08187433590963145,-0.08187433590963145,
PGS002853,LDL,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS002853,LDL,filter_10,median_I2_retained,0.0,,,,358539.0
PGS002853,LDL,filter_10,mean_sign_concordance_retained,0.5951654314994812,,,,358539.0
PGS002853,LDL,filter_10,weight_retained_frac,0.9662421221091908,1.0,-0.033757877890809196,0.033757877890809196,
PGS002858,LDL,filter_10,mean_abs_delta_EUR,0.47462621816488754,0.4849669332315403,-0.01034071506665274,0.01034071506665274,
PGS002858,LDL,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS002858,LDL,filter_10,median_I2_retained,0.0,,,,358541.0
PGS002858,LDL,filter_10,mean_sign_concordance_retained,0.5951647162437439,,,,358541.0
PGS002858,LDL,filter_10,weight_retained_frac,0.966375016857784,1.0,-0.03362498314221596,0.03362498314221596,
PGS003092,BMI,filter_10,mean_abs_delta_EUR,0.4362867706652543,0.3704443214771145,0.0658424491881398,-0.0658424491881398,
PGS003092,BMI,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS003092,BMI,filter_10,median_I2_retained,0.051968421787023544,,,,718340.0
PGS003092,BMI,filter_10,mean_sign_concordance_retained,0.5873765349388123,,,,718340.0
PGS003092,BMI,filter_10,weight_retained_frac,0.9635294865515501,1.0,-0.03647051344844987,0.03647051344844987,
PGS000014,CAD,filter_10,mean_abs_delta_EUR,2.2444764574815195,2.5558140597276946,-0.3113376022461751,0.3113376022461751,
PGS000014,CAD,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS000014,CAD,filter_10,median_I2_retained,0.0,,,,211730.0
PGS000014,CAD,filter_10,mean_sign_concordance_retained,0.6210719347000122,,,,211730.0
PGS000014,CAD,filter_10,weight_retained_frac,0.9363133322136018,1.0,-0.0636866677863982,0.0636866677863982,
PGS004840,T2D,filter_10,mean_abs_delta_EUR,1.4040066776413724,1.2107554439711516,0.1932512336702208,-0.1932512336702208,
PGS004840,T2D,filter_10,kendall_w,0.03209876543209877,0.01728395061728395,0.014814814814814819,-0.014814814814814819,
PGS004840,T2D,filter_10,median_I2_retained,0.0,,,,293726.0
PGS004840,T2D,filter_10,mean_sign_concordance_retained,0.6346301436424255,,,,293726.0
PGS004840,T2D,filter_10,weight_retained_frac,0.9160025325928958,1.0,-0.08399746740710423,0.08399746740710423,
PGS000018,T2D,filter_20,mean_abs_delta_EUR,0.3096735958711221,0.7190071660432993,-0.4093335701721772,0.4093335701721772,
PGS000018,T2D,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS000018,T2D,filter_20,median_I2_retained,0.0,,,,45056.0
PGS000018,T2D,filter_20,mean_sign_concordance_retained,0.6274893879890442,,,,45056.0
PGS000018,T2D,filter_20,weight_retained_frac,0.8770494442270603,1.0,-0.12295055577293967,0.12295055577293967,
PGS004696,CAD,filter_20,mean_abs_delta_EUR,2.450566161307766,2.5994430113029185,-0.1488768499951525,0.1488768499951525,
PGS004696,CAD,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS004696,CAD,filter_20,median_I2_retained,0.0,,,,34049.0
PGS004696,CAD,filter_20,mean_sign_concordance_retained,0.6303381323814392,,,,34049.0
PGS004696,CAD,filter_20,weight_retained_frac,0.906208954391385,1.0,-0.09379104560861495,0.09379104560861495,
PGS004698,CAD,filter_20,mean_abs_delta_EUR,2.236107708779908,2.287875058080976,-0.051767349301067966,0.051767349301067966,
PGS004698,CAD,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS004698,CAD,filter_20,median_I2_retained,0.0,,,,20383.0
PGS004698,CAD,filter_20,mean_sign_concordance_retained,0.6450785398483276,,,,20383.0
PGS004698,CAD,filter_20,weight_retained_frac,0.9454225306987266,1.0,-0.054577469301273385,0.054577469301273385,
PGS003897,BMI,filter_20,mean_abs_delta_EUR,0.44348432515342934,0.37614086305643446,0.06734346209699488,-0.06734346209699488,
PGS003897,BMI,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS003897,BMI,filter_20,median_I2_retained,0.27873706817626953,,,,8590.0
PGS003897,BMI,filter_20,mean_sign_concordance_retained,0.5639998316764832,,,,8590.0
PGS003897,BMI,filter_20,weight_retained_frac,0.7784469997455264,1.0,-0.22155300025447355,0.22155300025447355,
PGS002853,LDL,filter_20,mean_abs_delta_EUR,0.5391860524612657,0.45118847641173754,0.08799757604952818,-0.08799757604952818,
PGS002853,LDL,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS002853,LDL,filter_20,median_I2_retained,0.0,,,,305747.0
PGS002853,LDL,filter_20,mean_sign_concordance_retained,0.6002978086471558,,,,305747.0
PGS002853,LDL,filter_20,weight_retained_frac,0.928023267068083,1.0,-0.07197673293191698,0.07197673293191698,
PGS002858,LDL,filter_20,mean_abs_delta_EUR,0.45069451895991286,0.4849669332315403,-0.034272414271627416,0.034272414271627416,
PGS002858,LDL,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS002858,LDL,filter_20,median_I2_retained,0.0,,,,305748.0
PGS002858,LDL,filter_20,mean_sign_concordance_retained,0.6002974510192871,,,,305748.0
PGS002858,LDL,filter_20,weight_retained_frac,0.9281784842036426,1.0,-0.07182151579635743,0.07182151579635743,
PGS003092,BMI,filter_20,mean_abs_delta_EUR,0.6739731590078534,0.3704443214771145,0.3035288375307389,-0.3035288375307389,
PGS003092,BMI,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS003092,BMI,filter_20,median_I2_retained,0.0,,,,592020.0
PGS003092,BMI,filter_20,mean_sign_concordance_retained,0.5921417474746704,,,,592020.0
PGS003092,BMI,filter_20,weight_retained_frac,0.925873483798771,1.0,-0.07412651620122901,0.07412651620122901,
PGS000014,CAD,filter_20,mean_abs_delta_EUR,2.0999838293689943,2.5558140597276946,-0.4558302303587003,0.4558302303587003,
PGS000014,CAD,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
PGS000014,CAD,filter_20,median_I2_retained,0.0,,,,169581.0
PGS000014,CAD,filter_20,mean_sign_concordance_retained,0.6207208633422852,,,,169581.0
PGS000014,CAD,filter_20,weight_retained_frac,0.8705243553782887,1.0,-0.12947564462171135,0.12947564462171135,
PGS004840,T2D,filter_20,mean_abs_delta_EUR,1.5248395512468105,1.2107554439711516,0.31408410727565883,-0.31408410727565883,
PGS004840,T2D,filter_20,kendall_w,0.022222222222222223,0.01728395061728395,0.004938271604938274,-0.004938271604938274,
