pgs_id,mode,trait,status,n_variants_original,n_variants_edited,n_removed,variant_retention,weight_mass_retention,mass_removed,n_af_overlap,n_draws,observed_mad_baseline,observed_mad_edited,observed_mad_reduction,expected_mad_baseline,expected_mad_edited,expected_mad_reduction,delta_vs_random_n,delta_vs_random_mass,empirical_p_n,empirical_p_mass,random_n_mad_reduction_mean,random_mass_mad_reduction_mean,claim
PGS002853,fst,LDL,ok,6.08984e+06,5.48086e+06,608983,0.9,0.939592,22.2234,96643,500,,,,0.0181643,0.0138924,0.0042719,-0.0138891,0.00310897,1,0.0499002,0.018161,0.00116293,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,ld,LDL,ok,6.08984e+06,5.48086e+06,608983,0.9,0.968128,11.7256,96643,500,,,,0.0181643,0.0211226,-0.00295836,-0.0211192,-0.00345133,1,0.962076,0.0181609,0.000492966,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,maf,LDL,ok,6.08984e+06,5.48086e+06,608983,0.9,0.744073,94.1532,96643,500,,,,0.0181643,0.0172387,0.000925563,-0.0172356,-0.00353296,1,0.828343,0.0181612,0.00445852,ancestry_mean_separation_vs_matched_random_af_expected
PGS002853,duffy_gate,LDL,ok,6.08984e+06,6.08984e+06,0,1,1,0,96643,500,,,,0.0181643,0.0181643,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,filter_5,LDL,ok,6.08982e+06,5.78533e+06,304490,0.95,0.983234,6.04898,96643,500,,,,0.0197799,0.0166413,0.00313865,-0.0166376,0.00278441,1,0.011976,0.0197763,0.000354238,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,filter_10,LDL,ok,6.08982e+06,5.48084e+06,608981,0.9,0.966322,12.1505,96643,500,,,,0.0197799,0.0154488,0.00433119,-0.0154453,0.00367358,1,0.0159681,0.0197765,0.000657607,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,filter_20,LDL,ok,6.08982e+06,4.87186e+06,1.21796e+06,0.8,0.930194,25.1846,96643,500,,,,0.0197799,0.0143947,0.00538529,-0.0143909,0.00416471,1,0.0179641,0.0197762,0.00122058,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,reweight_linear,LDL,ok,6.08982e+06,6.08982e+06,0,1,0.736599,95.0299,96643,500,,,,0.0197799,0.0197799,0,,-0.0050545,,0.884232,,0.0050545,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,reweight_exp,LDL,ok,6.08982e+06,6.08982e+06,0,1,0.468698,191.684,96643,500,,,,0.0197799,0.0197799,0,,-0.0107789,,1,,0.0107789,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,flag,LDL,ok,6.08982e+06,6.08982e+06,0,1,1,0,96643,500,,,,0.0197799,0.0197799,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,fst,LDL,ok,6.08982e+06,5.48084e+06,608981,0.9,0.939572,21.8014,96643,500,,,,0.0197799,0.0155445,0.00423542,-0.0155412,0.00305804,1,0.0479042,0.0197766,0.00117738,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,ld,LDL,ok,6.08982e+06,5.48084e+06,608981,0.9,0.968221,11.4652,96643,500,,,,0.0197799,0.0227455,-0.00296551,-0.0227423,-0.00364769,1,0.978044,0.0197768,0.000682178,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,maf,LDL,ok,6.08982e+06,5.48084e+06,608981,0.9,0.743504,92.5387,96643,500,,,,0.0197799,0.0183157,0.00146427,-0.0183122,-0.00379092,1,0.846307,0.0197765,0.00525519,ancestry_mean_separation_vs_matched_random_af_expected
PGS002858,duffy_gate,LDL,ok,6.08982e+06,6.08982e+06,0,1,1,0,96643,500,,,,0.0197799,0.0197799,0,,,,,,,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,filter_5,BMI,ok,8.45893e+06,8.03599e+06,422946,0.95,0.981893,1.95335,117136,500,,,,0.00788583,0.0070001,0.000885737,-0.00699921,0.000723544,1,0.0239521,0.00788495,0.000162193,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,filter_10,BMI,ok,8.45893e+06,7.61304e+06,845893,0.9,0.964213,3.86059,117136,500,,,,0.00788583,0.00688887,0.000996961,-0.00688804,0.000667659,1,0.0459082,0.007885,0.000329302,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,filter_20,BMI,ok,8.45893e+06,6.76715e+06,1.69179e+06,0.8,0.927267,7.84613,117136,500,,,,0.00788583,0.00177082,0.00611502,-0.00177001,0.0055865,1,0.00199601,0.00788503,0.000528514,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,reweight_linear,BMI,ok,8.45893e+06,8.45893e+06,0,1,0.72686,29.4654,117136,500,,,,0.00788583,0.00788583,0,,-0.00223544,,1,,0.00223544,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,reweight_exp,BMI,ok,8.45893e+06,8.45893e+06,0,1,0.457726,58.4986,117136,500,,,,0.00788583,0.00788583,0,,-0.00430456,,1,,0.00430456,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,flag,BMI,ok,8.45893e+06,8.45893e+06,0,1,1,1.43044e-05,117136,500,,,,0.00788583,0.00788583,0,,-3.28556e-09,,0.506986,,3.28556e-09,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,fst,BMI,ok,8.45893e+06,7.61304e+06,845893,0.9,0.937772,6.71296,117136,500,,,,0.00788583,0.00170484,0.00618099,-0.00170402,0.00559032,1,0.00199601,0.00788501,0.000590672,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,ld,BMI,ok,8.45893e+06,7.61304e+06,845893,0.9,0.962261,4.07111,117136,500,,,,0.00788583,0.00757745,0.000308379,-0.00757661,-4.27444e-05,1,0.0558882,0.00788499,0.000351124,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,maf,BMI,ok,8.45893e+06,7.61304e+06,845893,0.9,0.722139,29.9747,117136,500,,,,0.00788583,0.00742751,0.000458327,-0.00742675,-0.00168559,1,0.866267,0.00788507,0.00214392,ancestry_mean_separation_vs_matched_random_af_expected
PGS003092,duffy_gate,BMI,ok,8.45893e+06,8.45771e+06,1222,0.999856,0.999845,0.0166737,117136,500,,,,0.00788583,0.00788583,0,-8.3164e-05,-2.70883e-07,0.710579,0.512974,8.3164e-05,2.70883e-07,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,filter_5,CAD,ok,6.8804e+06,6.53638e+06,344020,0.95,0.968089,1.85346,96136,500,,,,0.00831006,0.00755026,0.000759805,-0.00754898,0.000493235,1,0.00199601,0.00830878,0.00026657,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,filter_10,CAD,ok,6.8804e+06,6.19236e+06,688040,0.9,0.936303,3.69968,96136,500,,,,0.00831006,0.00796118,0.000348878,-0.00795983,-0.000177463,1,0.894212,0.00830871,0.000526341,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,filter_20,CAD,ok,6.8804e+06,5.50432e+06,1.37608e+06,0.8,0.871385,7.47026,96136,500,,,,0.00831006,0.00599912,0.00231095,-0.00599773,0.00123213,1,0.00199601,0.00830868,0.00107881,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,reweight_linear,CAD,ok,6.8804e+06,6.8804e+06,0,1,0.647437,20.4777,96136,500,,,,0.00831006,0.00831006,0,,-0.00291196,,1,,0.00291196,ancestry_mean_separation_vs_matched_random_af_expected
PGS000014,reweight_exp,CAD,ok,6.8804e+06,6.8804e+06,0,1,0.360608,37.1375,96136,500,,,,0.00831006,0.00831006,0,,-0.00532162,,1,,0.00532162,ancestry_mean_separation_vs_matched_random_af_expected
